"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
113,0,1,0,0,0,0,0,0,0,1.53454072328581,0,"Wohnung",0,0,0,0,1,0,0,1,1,0,0,1736,0,0,3.5,1,0,0,0,0,0,2019,2019,1955
125,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2390,0,0,4.5,1,0,0,1,0,0,2015,1990,6332
113.63732616352,1,0,0,0,0,0,0,0,0,1.98617662576736,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,450,0,0,4.19508946525912,1,0,1,0,0,0,2016,1975.91392477844,1297
185,0,0,0,0,0,0,1,1,0,2.19887074080988,0,"Wohnung",0,0,0,0,1,0,0,1,1,0,0,176,0,0,5.5,1,0,0,0,0,0,2013,2013,5400
72,0,0,0,0,0,0,0,0,0,2.10459718739379,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1252,0,0,3,1,0,0,0,0,0,2016,1978.92957305968,1993
90,0,0,0,0,0,0,0,0,0,1.91265364728141,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2232,0,0,3.59466952897116,1,0,0,0,0,0,2014,1980.5255308959,6900
48,0,0,0,0,1,0,0,1,0,1.96699915105543,0,"Wohnung",1,0,0,1,1,0,0,1,0,0,0,955,0,0,2.5,1,0,0,0,0,0,2015,2015,6467
98,1,0,0,0,1,0,0,1,0,1,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,2345,0,0,3.5,1,0,0,0,0,1,2013,2001,7050
55,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1010,0,0,2,1,0,0,0,0,0,2012,1950,3097
200,0,0,0,0,0,0,0,0,0,5.55596793741961,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2485,0,0,3.5,1,0,0,0,0,0,2017,1610,1350
120,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,0,1719,0,0,4.5,1,0,0,0,0,0,2012,2012,8588
